,Neg Score,Neu Array,Pos Array,Comp Array,Quote
0,0.108,0.608,0.284,0.5574,"
“You’ll miss the best things if you keep your eyes shut.”
"
1,0.444,0.556,0.0,-0.34,“Being crazy isn’t enough.”
2,0.0,0.79,0.21,0.6114,"“They say I’m old-fashioned, and live in the past, but sometimes I think progress progresses too fast!”"
3,0.0,1.0,0.0,0.0,"“Oh the things you can find, if you don’t stay behind!”"
4,0.101,0.899,0.0,-0.2263,“In the places I go there are things that I see that I never could spell if I stopped with the Z.”
5,0.0,0.908,0.092,0.5204,“How did it get so late so soon? Its night before its afternoon. December is here before its June. My goodness how the time has flewn. How did it get so late so soon?”
6,0.154,0.846,0.0,-0.4767,"
“Fantasy is a necessary ingredient in living, it’s a way of looking at life through the wrong end of a telescope.”
"
7,0.0,1.0,0.0,0.0,"“Simple it’s not, I am afraid you will find, for a mind-maker-upper to make up his mind.”"
8,0.0,0.828,0.172,0.4497,"“I know, up on top you are seeing great sights, but down here at the bottom we, too, should have rights.”"
9,0.0,1.0,0.0,0.0,"“Today I shall behave, as if this is the day I will be remembered.”"
10,0.0,1.0,0.0,0.0,“I meant what I said and I said what I meant.”
11,0.0,1.0,0.0,0.0,"“In my world, everyone’s a pony and they all eat rainbows and poop butterflies!”"
12,0.145,0.855,0.0,-0.2584,"
“Sometimes you will never know the value of a moment, until it becomes a memory.”
"
13,0.0,0.825,0.175,0.5255,“I’m telling you this ‘cause you’re one of my friends. My alphabet starts where your alphabet ends!”
14,0.0,1.0,0.0,0.0,"“Think and wonder, wonder and think.”"
15,0.0,0.59,0.41,0.9647,"“So be sure when you step, step with care and great tact. And remember that life’s A Great Balancing Act. And will you succeed? Yes! You will, indeed! (98 and ¾ percent guaranteed) Kid, you’ll move mountains.”"
16,0.0,1.0,0.0,0.0,“Only you can control your future.”
17,0.0,1.0,0.0,0.0,"
“It’s not about what it is, it’s about what it can become.”
"
18,0.0,0.774,0.226,0.7163,"“You’re off to Great Places! Today is your day! Your mountain is waiting, So… get on your way!”"
19,0.191,0.809,0.0,-0.5106,“He who makes a beast out of himself gets rid of the pain of being a man”
20,0.0,1.0,0.0,0.0,“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You’re on your own. And you know what you know. And YOU are the one who’ll decide where to go…”
21,0.246,0.556,0.198,-0.1531,“Don’t cry because it’s over. Smile because it happened.”
22,0.098,0.622,0.28,0.5423,"“Remember me and smile, for it’s better to forget than to remember me and cry.”"
