Title,Year,Target Age >,IMDb,Netflix,Hulu,Prime Video,Disney+
Breaking Bad,2008,18.0,9.5,1,0,0,0
Stranger Things,2016,16.0,8.8,1,0,0,0
Money Heist,2017,18.0,8.4,1,0,0,0
Sherlock,2010,16.0,9.1,1,0,0,0
Better Call Saul,2015,18.0,8.7,1,0,0,0
The Office,2005,16.0,8.9,1,0,0,0
Black Mirror,2011,18.0,8.8,1,0,0,0
Supernatural,2005,16.0,8.4,1,0,0,0
Peaky Blinders,2013,18.0,8.8,1,0,0,0
Avatar: The Last Airbender,2005,7.0,9.2,1,0,0,0
The Walking Dead,2010,18.0,8.2,1,0,0,0
Dark,2017,16.0,8.7,1,0,0,0
Ozark,2017,18.0,8.4,1,0,0,0
Attack on Titan,2013,16.0,8.8,1,1,0,0
Narcos,2015,18.0,8.8,1,0,0,0
Fullmetal Alchemist: Brotherhood,2009,18.0,9.1,1,1,0,0
Community,2009,7.0,8.5,1,1,0,0
Mindhunter,2017,18.0,8.6,1,0,0,0
Parks and Recreation,2009,16.0,8.6,1,1,1,0
Dexter,2006,18.0,8.6,1,0,0,0
Marvel's Daredevil,2015,18.0,8.6,1,0,0,0
The Witcher,2019,18.0,8.3,1,0,0,0
Twin Peaks,1990,18.0,8.8,1,1,0,0
One-Punch Man,2015,16.0,8.8,1,1,0,0
Outlander,2014,18.0,8.4,1,0,0,0
House of Cards,2013,18.0,8.7,1,0,0,0
Shameless,2011,18.0,8.6,1,0,0,0
The Good Place,2016,16.0,8.2,1,1,0,0
The Haunting,2018,18.0,8.7,1,0,0,0
The Blacklist,2013,16.0,8.0,1,0,0,0
The Flash,2014,7.0,7.7,1,0,0,0
The Last Kingdom,2015,18.0,8.4,1,0,0,0
Mad Men,2007,16.0,8.6,1,0,0,0
Lucifer,2016,16.0,8.2,1,0,0,0
Orange Is the New Black,2013,18.0,8.1,1,0,0,0
Grey's Anatomy,2005,16.0,7.6,1,1,0,0
The End of the F***ing World,2017,18.0,8.1,1,0,0,0
Arrested Development,2003,16.0,8.7,1,1,0,0
The Vampire Diaries,2009,7.0,7.7,1,0,0,0
The Crown,2016,18.0,8.7,1,0,0,0
The 100,2014,16.0,7.7,1,0,0,0
When They See Us,2019,18.0,8.9,1,0,0,0
How to Get Away with Murder,2014,16.0,8.1,1,1,0,0
After Life,2019,18.0,8.5,1,0,0,0
Elite,2018,18.0,7.6,1,0,0,0
BoJack Horseman,2014,18.0,8.7,1,0,0,0
Never Have I Ever,2020,16.0,8.0,1,0,0,0
Penny Dreadful,2014,18.0,8.2,1,0,0,0
Marvel's Agents of S.H.I.E.L.D.,2013,16.0,7.5,1,0,0,0
Dead to Me,2019,18.0,8.1,1,0,0,0
Unorthodox,2020,18.0,8.1,1,0,0,0
Sense8,2015,18.0,8.3,1,0,0,0
Sacred Games,2018,18.0,8.7,1,0,0,0
American Crime Story,2016,18.0,8.4,1,0,0,0
Family Guy,1999,18.0,8.1,1,1,0,0
Pretty Little Liars,2010,16.0,7.4,1,1,0,0
Unbelievable,2019,18.0,8.4,1,0,0,0
Arrow,2012,16.0,7.6,1,0,0,0
The IT Crowd,2006,16.0,8.5,1,0,0,0
The Twilight Zone,1959,7.0,9.0,1,1,0,0
YOU,2018,18.0,7.8,1,0,0,0
Sex Education,2019,16.0,8.3,1,0,0,0
"Tiger King: Murder, Mayhem and Madness",2020,18.0,7.8,1,0,0,0
Star Trek: The Next Generation,1987,7.0,8.6,1,1,1,0
Broadchurch,2013,18.0,8.4,1,0,0,0
Kingdom,2019,18.0,8.4,1,0,0,0
Altered Carbon,2018,18.0,8.1,1,0,0,0
The Sinner,2017,16.0,8.0,1,0,0,0
"Love, Death & Robots",2019,18.0,8.5,1,0,0,0
Marvel's Jessica Jones,2015,18.0,8.0,1,0,0,0
New Girl,2011,16.0,7.7,1,0,0,0
The Good Wife,2009,16.0,8.3,1,1,1,0
The Umbrella Academy,2019,16.0,7.9,1,0,0,0
Marvel's The Punisher,2017,18.0,8.5,1,0,0,0
Ash vs Evil Dead,2015,18.0,8.4,1,0,0,0
Master of None,2015,18.0,8.3,1,0,0,0
Bodyguard,2018,18.0,8.1,1,0,0,0
Schitt's Creek,2015,16.0,8.4,1,0,1,0
Narcos: Mexico,2018,18.0,8.4,1,0,0,0
The West Wing,1999,16.0,8.8,1,0,0,0
Bates Motel,2013,18.0,8.2,1,0,0,0
Atypical,2017,18.0,8.3,1,0,0,0
Once Upon a Time,2011,7.0,7.7,1,0,0,0
Gomorrah,2014,18.0,8.7,1,0,0,0
Making a Murderer,2015,16.0,8.6,1,0,0,0
Death Note,2006,18.0,9.0,1,1,0,0
Castlevania,2017,18.0,8.2,1,0,0,0
Riverdale,2017,16.0,7.0,1,0,0,0
Burn Notice,2007,7.0,7.9,1,1,1,0
Fauda,2015,16.0,8.3,1,0,0,0
Russian Doll,2019,18.0,7.9,1,0,0,0
Our Planet,2019,7.0,9.3,1,0,0,0
Big Mouth,2017,18.0,8.0,1,0,0,0
American Horror Story,2011,18.0,8.0,1,1,1,0
Gotham,2014,16.0,7.8,1,0,0,0
I Am Not Okay with This,2020,18.0,7.6,1,0,0,0
Criminal Minds,2005,16.0,8.1,1,0,0,0
The Vietnam War,2017,18.0,9.1,1,0,0,0
Waco,2018,18.0,7.9,1,0,0,0
Star Trek,1966,7.0,8.3,1,1,1,0
The OA,2016,16.0,7.9,1,0,0,0
Outer Banks,2020,18.0,7.6,1,0,0,0
The Midnight Gospel,2020,18.0,8.4,1,0,0,0
Good Girls,2018,16.0,7.9,1,1,0,0
Chilling Adventures of Sabrina,2018,16.0,7.6,1,0,0,0
Doctor Foster,2015,16.0,7.7,1,0,0,0
Gilmore Girls,2000,16.0,8.1,1,0,0,0
iZombie,2015,16.0,7.9,1,0,0,0
Anne with an E,2017,7.0,8.6,1,0,0,0
A Series of Unfortunate Events,2017,7.0,7.8,1,0,0,0
Neon Genesis Evangelion,1995,16.0,8.5,1,0,0,0
Into the Badlands,2015,16.0,8.0,1,0,0,0
Monty Python's Flying Circus,1969,16.0,8.8,1,0,0,0
Jane the Virgin,2014,7.0,7.8,1,0,0,0
Halt and Catch Fire,2014,16.0,8.4,1,0,0,0
Grace and Frankie,2015,7.0,8.3,1,0,0,0
NCIS,2003,16.0,7.8,1,0,0,0
Weeds,2005,18.0,7.9,1,0,0,0
GLOW,2017,18.0,8.0,1,0,0,0
Person of Interest,2011,16.0,8.4,1,0,0,0
13 Reasons Why,2017,18.0,7.8,1,0,0,0
Godless,2017,16.0,8.3,1,0,0,0
Locked Up,2015,16.0,8.3,1,0,0,0
Mushi-Shi,2005,16.0,8.5,1,1,1,0
Gossip Girl,2008,16.0,7.4,1,0,0,0
Unbreakable Kimmy Schmidt,2015,16.0,7.6,1,0,0,0
Lost in Space,2018,7.0,7.3,1,0,0,0
Scandal,2012,16.0,7.7,1,0,0,0
Hunter x Hunter,2011,16.0,8.9,1,1,0,0
One Day at a Time,2017,7.0,8.2,1,0,0,0
DC's Legends of Tomorrow,2016,16.0,6.8,1,0,0,0
Manhunt,2017,16.0,8.1,1,0,0,0
Naruto,2002,7.0,8.3,1,1,0,0
